Date               ,ZTD [m]     ,ZWD [m]     ,PWV [mm]    ,GE [m]      ,GN [m]      
15/02/2021 10:05:42,    2.288222,    0.101679,    0.015608,   -0.000547,    0.001973
15/02/2021 10:06:12,    2.288301,    0.101758,    0.015621,   -0.000546,    0.001958
15/02/2021 10:06:42,    2.288394,    0.101851,    0.015635,   -0.000545,    0.001942
15/02/2021 10:07:12,    2.288496,    0.101953,    0.015650,   -0.000544,    0.001926
15/02/2021 10:07:42,    2.288601,    0.102058,    0.015667,   -0.000543,    0.001910
15/02/2021 10:08:12,    2.288705,    0.102162,    0.015683,   -0.000542,    0.001893
15/02/2021 10:08:42,    2.288803,    0.102259,    0.015698,   -0.000541,    0.001876
15/02/2021 10:09:12,    2.288889,    0.102346,    0.015711,   -0.000540,    0.001858
15/02/2021 10:09:42,    2.288960,    0.102417,    0.015722,   -0.000539,    0.001841
15/02/2021 10:10:12,    2.289011,    0.102468,    0.015730,   -0.000538,    0.001823
15/02/2021 10:10:42,    2.289035,    0.102492,    0.015733,   -0.000537,    0.001804
15/02/2021 10:11:12,    2.289031,    0.102488,    0.015733,   -0.000536,    0.001786
15/02/2021 10:11:42,    2.288999,    0.102456,    0.015728,   -0.000535,    0.001767
15/02/2021 10:12:12,    2.288942,    0.102399,    0.015719,   -0.000535,    0.001748
15/02/2021 10:12:42,    2.288864,    0.102320,    0.015707,   -0.000534,    0.001729
15/02/2021 10:13:12,    2.288766,    0.102223,    0.015692,   -0.000533,    0.001710
15/02/2021 10:13:42,    2.288653,    0.102110,    0.015675,   -0.000532,    0.001690
15/02/2021 10:14:12,    2.288527,    0.101984,    0.015655,   -0.000532,    0.001671
15/02/2021 10:14:42,    2.288391,    0.101847,    0.015634,   -0.000531,    0.001651
15/02/2021 10:15:12,    2.288247,    0.101704,    0.015612,   -0.000530,    0.001632
15/02/2021 10:15:42,    2.288099,    0.101556,    0.015590,   -0.000530,    0.001612
15/02/2021 10:16:12,    2.287950,    0.101406,    0.015567,   -0.000529,    0.001592
15/02/2021 10:16:42,    2.287798,    0.101255,    0.015543,   -0.000528,    0.001572
15/02/2021 10:17:12,    2.287644,    0.101101,    0.015520,   -0.000528,    0.001552
15/02/2021 10:17:42,    2.287488,    0.100945,    0.015496,   -0.000527,    0.001532
15/02/2021 10:18:12,    2.287330,    0.100787,    0.015472,   -0.000527,    0.001512
15/02/2021 10:18:42,    2.287168,    0.100625,    0.015447,   -0.000526,    0.001492
15/02/2021 10:19:12,    2.287003,    0.100460,    0.015421,   -0.000525,    0.001472
15/02/2021 10:19:42,    2.286834,    0.100291,    0.015395,   -0.000525,    0.001453
15/02/2021 10:20:12,    2.286661,    0.100118,    0.015369,   -0.000524,    0.001433
15/02/2021 10:20:42,    2.286484,    0.099941,    0.015342,   -0.000524,    0.001413
15/02/2021 10:21:12,    2.286303,    0.099760,    0.015314,   -0.000523,    0.001394
15/02/2021 10:21:42,    2.286121,    0.099578,    0.015286,   -0.000523,    0.001375
15/02/2021 10:22:12,    2.285944,    0.099401,    0.015259,   -0.000523,    0.001355
15/02/2021 10:22:42,    2.285775,    0.099232,    0.015233,   -0.000522,    0.001336
15/02/2021 10:23:12,    2.285618,    0.099075,    0.015209,   -0.000522,    0.001317
15/02/2021 10:23:42,    2.285479,    0.098936,    0.015187,   -0.000521,    0.001299
15/02/2021 10:24:12,    2.285361,    0.098818,    0.015169,   -0.000521,    0.001280
15/02/2021 10:24:42,    2.285269,    0.098726,    0.015155,   -0.000521,    0.001262
15/02/2021 10:25:12,    2.285208,    0.098664,    0.015146,   -0.000520,    0.001244
15/02/2021 10:25:42,    2.285180,    0.098637,    0.015142,   -0.000520,    0.001227
15/02/2021 10:26:12,    2.285190,    0.098647,    0.015143,   -0.000519,    0.001209
15/02/2021 10:26:42,    2.285233,    0.098690,    0.015150,   -0.000519,    0.001192
15/02/2021 10:27:12,    2.285303,    0.098760,    0.015160,   -0.000519,    0.001176
15/02/2021 10:27:42,    2.285393,    0.098850,    0.015174,   -0.000519,    0.001159
15/02/2021 10:28:12,    2.285498,    0.098955,    0.015190,   -0.000518,    0.001143
15/02/2021 10:28:42,    2.285612,    0.099068,    0.015208,   -0.000518,    0.001128
15/02/2021 10:29:12,    2.285728,    0.099184,    0.015226,   -0.000518,    0.001113
15/02/2021 10:29:42,    2.285839,    0.099296,    0.015243,   -0.000517,    0.001098
15/02/2021 10:30:12,    2.285942,    0.099398,    0.015258,   -0.000517,    0.001083
15/02/2021 10:30:42,    2.286028,    0.099485,    0.015272,   -0.000517,    0.001070
15/02/2021 10:31:12,    2.286093,    0.099550,    0.015282,   -0.000517,    0.001056
15/02/2021 10:31:42,    2.286138,    0.099595,    0.015289,   -0.000517,    0.001043
15/02/2021 10:32:12,    2.286163,    0.099619,    0.015292,   -0.000516,    0.001031
15/02/2021 10:32:42,    2.286169,    0.099626,    0.015293,   -0.000516,    0.001019
15/02/2021 10:33:12,    2.286158,    0.099615,    0.015292,   -0.000516,    0.001007
15/02/2021 10:33:42,    2.286131,    0.099587,    0.015287,   -0.000516,    0.000997
15/02/2021 10:34:12,    2.286088,    0.099545,    0.015281,   -0.000516,    0.000986
15/02/2021 10:34:42,    2.286032,    0.099489,    0.015272,   -0.000515,    0.000977
15/02/2021 10:35:12,    2.285963,    0.099420,    0.015262,   -0.000515,    0.000968
15/02/2021 10:35:42,    2.285883,    0.099340,    0.015249,   -0.000515,    0.000959
15/02/2021 10:36:12,    2.285791,    0.099248,    0.015235,   -0.000515,    0.000952
15/02/2021 10:36:42,    2.285687,    0.099144,    0.015219,   -0.000515,    0.000944
15/02/2021 10:37:12,    2.285568,    0.099024,    0.015201,   -0.000515,    0.000938
15/02/2021 10:37:42,    2.285431,    0.098887,    0.015180,   -0.000515,    0.000932
15/02/2021 10:38:12,    2.285274,    0.098731,    0.015156,   -0.000514,    0.000927
15/02/2021 10:38:42,    2.285095,    0.098552,    0.015128,   -0.000514,    0.000922
15/02/2021 10:39:12,    2.284891,    0.098348,    0.015097,   -0.000514,    0.000918
