Date               ,ZTD [m]     ,ZWD [m]     ,PWV [mm]    ,GE [m]      ,GN [m]      
15/02/2021 03:59:42,    2.330086,    0.093777,    0.014430,    0.000407,    0.002016
15/02/2021 04:00:12,    2.330029,    0.093721,    0.014421,    0.000408,    0.002044
15/02/2021 04:00:42,    2.329975,    0.093668,    0.014413,    0.000408,    0.002073
15/02/2021 04:01:12,    2.329936,    0.093630,    0.014407,    0.000408,    0.002102
15/02/2021 04:01:42,    2.329923,    0.093617,    0.014405,    0.000408,    0.002132
15/02/2021 04:02:12,    2.329947,    0.093642,    0.014409,    0.000408,    0.002162
15/02/2021 04:02:42,    2.330019,    0.093715,    0.014420,    0.000408,    0.002192
15/02/2021 04:03:12,    2.330149,    0.093846,    0.014440,    0.000408,    0.002223
15/02/2021 04:03:42,    2.330349,    0.094047,    0.014471,    0.000408,    0.002254
15/02/2021 04:04:12,    2.330631,    0.094329,    0.014515,    0.000408,    0.002286
15/02/2021 04:04:42,    2.331004,    0.094703,    0.014572,    0.000407,    0.002318
15/02/2021 04:05:12,    2.331474,    0.095173,    0.014645,    0.000407,    0.002350
15/02/2021 04:05:42,    2.332022,    0.095723,    0.014729,    0.000406,    0.002382
15/02/2021 04:06:12,    2.332626,    0.096327,    0.014822,    0.000405,    0.002415
15/02/2021 04:06:42,    2.333261,    0.096963,    0.014920,    0.000405,    0.002448
15/02/2021 04:07:12,    2.333903,    0.097606,    0.015019,    0.000404,    0.002481
15/02/2021 04:07:42,    2.334528,    0.098231,    0.015115,    0.000403,    0.002515
15/02/2021 04:08:12,    2.335112,    0.098816,    0.015205,    0.000402,    0.002549
15/02/2021 04:08:42,    2.335632,    0.099337,    0.015285,    0.000401,    0.002583
15/02/2021 04:09:12,    2.336062,    0.099768,    0.015352,    0.000400,    0.002617
15/02/2021 04:09:42,    2.336380,    0.100087,    0.015401,    0.000399,    0.002651
15/02/2021 04:10:12,    2.336568,    0.100276,    0.015430,    0.000398,    0.002686
15/02/2021 04:10:42,    2.336633,    0.100341,    0.015440,    0.000396,    0.002720
15/02/2021 04:11:12,    2.336588,    0.100296,    0.015433,    0.000395,    0.002755
15/02/2021 04:11:42,    2.336445,    0.100155,    0.015411,    0.000394,    0.002790
15/02/2021 04:12:12,    2.336219,    0.099930,    0.015377,    0.000392,    0.002825
15/02/2021 04:12:42,    2.335923,    0.099634,    0.015331,    0.000391,    0.002860
15/02/2021 04:13:12,    2.335570,    0.099282,    0.015277,    0.000389,    0.002895
15/02/2021 04:13:42,    2.335173,    0.098886,    0.015216,    0.000387,    0.002930
15/02/2021 04:14:12,    2.334746,    0.098459,    0.015150,    0.000385,    0.002965
15/02/2021 04:14:42,    2.334301,    0.098015,    0.015082,    0.000383,    0.003000
15/02/2021 04:15:12,    2.333851,    0.097565,    0.015013,    0.000381,    0.003035
15/02/2021 04:15:42,    2.333401,    0.097117,    0.014944,    0.000379,    0.003070
15/02/2021 04:16:12,    2.332958,    0.096674,    0.014876,    0.000377,    0.003105
15/02/2021 04:16:42,    2.332526,    0.096243,    0.014809,    0.000375,    0.003140
15/02/2021 04:17:12,    2.332110,    0.095827,    0.014745,    0.000373,    0.003175
15/02/2021 04:17:42,    2.331714,    0.095433,    0.014685,    0.000371,    0.003210
15/02/2021 04:18:12,    2.331345,    0.095065,    0.014628,    0.000368,    0.003245
15/02/2021 04:18:42,    2.331007,    0.094728,    0.014576,    0.000366,    0.003279
15/02/2021 04:19:12,    2.330706,    0.094427,    0.014530,    0.000364,    0.003314
15/02/2021 04:19:42,    2.330445,    0.094167,    0.014490,    0.000361,    0.003348
15/02/2021 06:10:12,    2.329551,    0.093423,    0.014376,    0.000213,    0.004449
15/02/2021 06:10:42,    2.329523,    0.093395,    0.014371,    0.000208,    0.004467
15/02/2021 06:11:12,    2.329492,    0.093364,    0.014367,    0.000203,    0.004483
15/02/2021 06:11:42,    2.329460,    0.093332,    0.014362,    0.000199,    0.004500
15/02/2021 06:12:12,    2.329425,    0.093297,    0.014356,    0.000194,    0.004516
15/02/2021 06:12:42,    2.329389,    0.093261,    0.014351,    0.000189,    0.004531
15/02/2021 06:13:12,    2.329351,    0.093223,    0.014345,    0.000185,    0.004546
15/02/2021 06:13:42,    2.329313,    0.093185,    0.014339,    0.000180,    0.004561
15/02/2021 06:14:12,    2.329274,    0.093146,    0.014333,    0.000175,    0.004575
15/02/2021 06:14:42,    2.329235,    0.093106,    0.014327,    0.000170,    0.004589
15/02/2021 06:15:12,    2.329195,    0.093067,    0.014321,    0.000165,    0.004602
15/02/2021 06:15:42,    2.329157,    0.093029,    0.014315,    0.000161,    0.004615
15/02/2021 06:16:12,    2.329120,    0.092992,    0.014309,    0.000156,    0.004628
15/02/2021 06:16:42,    2.329086,    0.092958,    0.014304,    0.000151,    0.004640
15/02/2021 06:17:12,    2.329055,    0.092927,    0.014299,    0.000146,    0.004651
15/02/2021 06:17:42,    2.329028,    0.092900,    0.014295,    0.000141,    0.004662
15/02/2021 06:18:12,    2.329007,    0.092879,    0.014292,    0.000136,    0.004673
15/02/2021 06:18:42,    2.328991,    0.092863,    0.014289,    0.000131,    0.004683
15/02/2021 06:19:12,    2.328982,    0.092854,    0.014288,    0.000125,    0.004693
15/02/2021 06:19:42,    2.328981,    0.092853,    0.014288,    0.000120,    0.004703
15/02/2021 06:20:12,    2.328989,    0.092860,    0.014289,    0.000115,    0.004712
15/02/2021 06:20:42,    2.329006,    0.092878,    0.014292,    0.000110,    0.004720
15/02/2021 06:21:12,    2.329036,    0.092907,    0.014296,    0.000105,    0.004729
15/02/2021 06:21:42,    2.329078,    0.092950,    0.014303,    0.000099,    0.004736
15/02/2021 06:22:12,    2.329136,    0.093008,    0.014312,    0.000094,    0.004744
15/02/2021 06:22:42,    2.329211,    0.093083,    0.014323,    0.000089,    0.004751
