Date               ,ZTD [m]     ,ZWD [m]     ,PWV [mm]    ,GE [m]      ,GN [m]      
15/02/2021 10:05:42,    2.366728,    0.109298,    0.016861,    0.000491,    0.001421
15/02/2021 10:06:12,    2.366762,    0.109331,    0.016867,    0.000488,    0.001403
15/02/2021 10:06:42,    2.366795,    0.109365,    0.016872,    0.000485,    0.001385
15/02/2021 10:07:12,    2.366826,    0.109395,    0.016876,    0.000481,    0.001366
15/02/2021 10:07:42,    2.366851,    0.109421,    0.016880,    0.000477,    0.001347
15/02/2021 10:08:12,    2.366868,    0.109438,    0.016883,    0.000474,    0.001328
15/02/2021 10:08:42,    2.366874,    0.109444,    0.016884,    0.000470,    0.001309
15/02/2021 10:09:12,    2.366866,    0.109436,    0.016883,    0.000465,    0.001289
15/02/2021 10:09:42,    2.366842,    0.109411,    0.016879,    0.000461,    0.001270
15/02/2021 10:10:12,    2.366798,    0.109368,    0.016872,    0.000457,    0.001250
15/02/2021 10:10:42,    2.366733,    0.109302,    0.016862,    0.000452,    0.001229
15/02/2021 10:11:12,    2.366644,    0.109213,    0.016848,    0.000447,    0.001209
15/02/2021 10:11:42,    2.366536,    0.109106,    0.016832,    0.000442,    0.001188
15/02/2021 10:12:12,    2.366416,    0.108986,    0.016813,    0.000437,    0.001167
15/02/2021 10:12:42,    2.366291,    0.108860,    0.016794,    0.000432,    0.001146
15/02/2021 10:13:12,    2.366165,    0.108735,    0.016774,    0.000427,    0.001125
15/02/2021 10:13:42,    2.366046,    0.108616,    0.016756,    0.000421,    0.001104
15/02/2021 10:14:12,    2.365941,    0.108510,    0.016740,    0.000415,    0.001083
15/02/2021 10:14:42,    2.365854,    0.108423,    0.016726,    0.000410,    0.001062
15/02/2021 10:15:12,    2.365793,    0.108362,    0.016717,    0.000404,    0.001041
15/02/2021 10:15:42,    2.365763,    0.108333,    0.016712,    0.000398,    0.001019
15/02/2021 10:16:12,    2.365770,    0.108339,    0.016713,    0.000391,    0.000998
15/02/2021 10:16:42,    2.365810,    0.108379,    0.016720,    0.000385,    0.000977
15/02/2021 10:17:12,    2.365878,    0.108447,    0.016730,    0.000379,    0.000956
15/02/2021 10:17:42,    2.365969,    0.108538,    0.016744,    0.000372,    0.000935
15/02/2021 10:18:12,    2.366079,    0.108648,    0.016761,    0.000366,    0.000914
15/02/2021 10:18:42,    2.366201,    0.108771,    0.016780,    0.000359,    0.000893
15/02/2021 10:19:12,    2.366333,    0.108902,    0.016800,    0.000352,    0.000872
15/02/2021 10:19:42,    2.366467,    0.109037,    0.016821,    0.000345,    0.000851
15/02/2021 10:20:12,    2.366601,    0.109170,    0.016842,    0.000338,    0.000831
15/02/2021 10:20:42,    2.366727,    0.109297,    0.016861,    0.000331,    0.000811
15/02/2021 10:21:12,    2.366844,    0.109413,    0.016879,    0.000324,    0.000791
15/02/2021 10:21:42,    2.366948,    0.109517,    0.016895,    0.000316,    0.000771
15/02/2021 10:22:12,    2.367039,    0.109609,    0.016909,    0.000309,    0.000751
15/02/2021 10:22:42,    2.367117,    0.109687,    0.016921,    0.000301,    0.000732
15/02/2021 10:23:12,    2.367181,    0.109751,    0.016931,    0.000294,    0.000713
15/02/2021 10:23:42,    2.367231,    0.109800,    0.016939,    0.000286,    0.000694
15/02/2021 10:24:12,    2.367265,    0.109834,    0.016944,    0.000278,    0.000676
15/02/2021 10:24:42,    2.367283,    0.109852,    0.016947,    0.000271,    0.000658
15/02/2021 10:25:12,    2.367284,    0.109853,    0.016947,    0.000263,    0.000640
15/02/2021 10:25:42,    2.367268,    0.109837,    0.016945,    0.000255,    0.000622
15/02/2021 10:26:12,    2.367234,    0.109803,    0.016939,    0.000247,    0.000606
15/02/2021 10:26:42,    2.367182,    0.109751,    0.016931,    0.000239,    0.000589
15/02/2021 10:27:12,    2.367111,    0.109681,    0.016920,    0.000231,    0.000573
15/02/2021 10:27:42,    2.367023,    0.109592,    0.016907,    0.000223,    0.000557
15/02/2021 10:28:12,    2.366915,    0.109485,    0.016890,    0.000215,    0.000542
15/02/2021 10:28:42,    2.366789,    0.109359,    0.016871,    0.000206,    0.000528
15/02/2021 10:29:12,    2.366644,    0.109214,    0.016848,    0.000198,    0.000513
15/02/2021 10:29:42,    2.366480,    0.109050,    0.016823,    0.000190,    0.000500
15/02/2021 10:30:12,    2.366297,    0.108867,    0.016795,    0.000182,    0.000487
15/02/2021 10:30:42,    2.366095,    0.108664,    0.016764,    0.000173,    0.000474
15/02/2021 10:31:12,    2.365874,    0.108443,    0.016730,    0.000165,    0.000463
15/02/2021 10:31:42,    2.365640,    0.108210,    0.016694,    0.000156,    0.000451
15/02/2021 10:32:12,    2.365400,    0.107969,    0.016656,    0.000148,    0.000441
15/02/2021 10:32:42,    2.365160,    0.107729,    0.016619,    0.000140,    0.000431
15/02/2021 10:33:12,    2.364926,    0.107495,    0.016583,    0.000131,    0.000422
15/02/2021 10:33:42,    2.364705,    0.107275,    0.016549,    0.000123,    0.000413
15/02/2021 10:34:12,    2.364504,    0.107073,    0.016518,    0.000114,    0.000405
15/02/2021 10:34:42,    2.364328,    0.106897,    0.016491,    0.000106,    0.000398
15/02/2021 10:35:12,    2.364185,    0.106754,    0.016469,    0.000097,    0.000392
15/02/2021 10:35:42,    2.364080,    0.106650,    0.016453,    0.000089,    0.000386
15/02/2021 10:36:12,    2.364018,    0.106588,    0.016443,    0.000080,    0.000381
15/02/2021 10:36:42,    2.363995,    0.106564,    0.016440,    0.000072,    0.000377
15/02/2021 10:37:12,    2.364001,    0.106570,    0.016441,    0.000063,    0.000374
15/02/2021 10:37:42,    2.364030,    0.106599,    0.016445,    0.000055,    0.000372
15/02/2021 10:38:12,    2.364074,    0.106643,    0.016452,    0.000047,    0.000370
15/02/2021 10:38:42,    2.364125,    0.106695,    0.016460,    0.000038,    0.000369
15/02/2021 10:39:12,    2.364177,    0.106747,    0.016468,    0.000030,    0.000368
15/02/2021 10:39:42,    2.364221,    0.106791,    0.016475,    0.000021,    0.000369
15/02/2021 10:40:12,    2.364250,    0.106820,    0.016479,    0.000013,    0.000369
15/02/2021 10:40:42,    2.364256,    0.106826,    0.016480,    0.000005,    0.000371
15/02/2021 10:41:12,    2.364235,    0.106804,    0.016477,   -0.000003,    0.000373
15/02/2021 10:41:42,    2.364188,    0.106757,    0.016470,   -0.000012,    0.000376
15/02/2021 10:42:12,    2.364121,    0.106691,    0.016459,   -0.000020,    0.000379
15/02/2021 10:42:42,    2.364040,    0.106609,    0.016447,   -0.000028,    0.000383
15/02/2021 10:43:12,    2.363949,    0.106518,    0.016433,   -0.000036,    0.000387
