Date               ,ZTD [m]     ,ZWD [m]     ,PWV [mm]    ,GE [m]      ,GN [m]      
15/02/2021 08:59:42,    2.318006,    0.083049,    0.012777,   -0.000989,    0.004683
15/02/2021 09:00:12,    2.318017,    0.083059,    0.012778,   -0.000990,    0.004665
15/02/2021 09:00:42,    2.318027,    0.083070,    0.012780,   -0.000991,    0.004645
15/02/2021 09:01:12,    2.318039,    0.083082,    0.012782,   -0.000992,    0.004625
15/02/2021 09:01:42,    2.318053,    0.083095,    0.012784,   -0.000993,    0.004602
15/02/2021 09:02:12,    2.318069,    0.083111,    0.012786,   -0.000994,    0.004578
15/02/2021 09:02:42,    2.318088,    0.083130,    0.012789,   -0.000996,    0.004553
15/02/2021 09:03:12,    2.318110,    0.083152,    0.012793,   -0.000997,    0.004526
15/02/2021 09:03:42,    2.318136,    0.083178,    0.012797,   -0.000998,    0.004498
15/02/2021 09:04:12,    2.318167,    0.083209,    0.012802,   -0.000999,    0.004469
15/02/2021 09:04:42,    2.318203,    0.083245,    0.012807,   -0.001000,    0.004438
15/02/2021 09:05:12,    2.318245,    0.083287,    0.012814,   -0.001001,    0.004406
15/02/2021 09:05:42,    2.318297,    0.083339,    0.012822,   -0.001002,    0.004372
15/02/2021 09:06:12,    2.318363,    0.083405,    0.012832,   -0.001003,    0.004338
15/02/2021 09:06:42,    2.318447,    0.083489,    0.012845,   -0.001004,    0.004302
15/02/2021 09:07:12,    2.318553,    0.083596,    0.012861,   -0.001006,    0.004265
15/02/2021 09:07:42,    2.318686,    0.083728,    0.012881,   -0.001007,    0.004227
15/02/2021 09:08:12,    2.318849,    0.083892,    0.012907,   -0.001008,    0.004188
15/02/2021 09:08:42,    2.319047,    0.084090,    0.012937,   -0.001009,    0.004147
15/02/2021 09:09:12,    2.319284,    0.084326,    0.012973,   -0.001010,    0.004106
15/02/2021 09:09:42,    2.319564,    0.084606,    0.013016,   -0.001011,    0.004063
15/02/2021 09:10:12,    2.319888,    0.084930,    0.013066,   -0.001012,    0.004020
15/02/2021 09:10:42,    2.320249,    0.085291,    0.013122,   -0.001013,    0.003975
15/02/2021 09:11:12,    2.320637,    0.085679,    0.013182,   -0.001015,    0.003930
15/02/2021 09:11:42,    2.321040,    0.086082,    0.013244,   -0.001016,    0.003883
15/02/2021 09:12:12,    2.321448,    0.086491,    0.013306,   -0.001017,    0.003836
15/02/2021 09:12:42,    2.321852,    0.086894,    0.013369,   -0.001018,    0.003788
15/02/2021 09:13:12,    2.322240,    0.087283,    0.013428,   -0.001019,    0.003739
15/02/2021 09:13:42,    2.322603,    0.087645,    0.013484,   -0.001020,    0.003689
15/02/2021 09:14:12,    2.322929,    0.087971,    0.013534,   -0.001021,    0.003639
15/02/2021 09:14:42,    2.323209,    0.088251,    0.013577,   -0.001022,    0.003587
15/02/2021 09:15:12,    2.323434,    0.088476,    0.013612,   -0.001023,    0.003535
15/02/2021 09:15:42,    2.323609,    0.088651,    0.013639,   -0.001024,    0.003483
15/02/2021 09:16:12,    2.323740,    0.088783,    0.013659,   -0.001025,    0.003429
15/02/2021 09:16:42,    2.323835,    0.088877,    0.013674,   -0.001025,    0.003375
15/02/2021 09:17:12,    2.323900,    0.088942,    0.013684,   -0.001026,    0.003321
15/02/2021 09:17:42,    2.323941,    0.088983,    0.013690,   -0.001027,    0.003265
15/02/2021 09:18:12,    2.323965,    0.089007,    0.013694,   -0.001028,    0.003210
15/02/2021 09:18:42,    2.323979,    0.089021,    0.013696,   -0.001029,    0.003153
15/02/2021 09:19:12,    2.323989,    0.089032,    0.013697,   -0.001029,    0.003096
15/02/2021 09:19:42,    2.324003,    0.089046,    0.013700,   -0.001030,    0.003039
15/02/2021 09:20:12,    2.324026,    0.089069,    0.013703,   -0.001031,    0.002981
15/02/2021 09:20:42,    2.324057,    0.089100,    0.013708,   -0.001031,    0.002923
15/02/2021 09:21:12,    2.324095,    0.089137,    0.013714,   -0.001032,    0.002865
15/02/2021 09:21:42,    2.324137,    0.089179,    0.013720,   -0.001032,    0.002806
15/02/2021 09:22:12,    2.324182,    0.089224,    0.013727,   -0.001033,    0.002747
15/02/2021 09:22:42,    2.324228,    0.089270,    0.013734,   -0.001033,    0.002687
15/02/2021 09:23:12,    2.324273,    0.089315,    0.013741,   -0.001034,    0.002627
15/02/2021 09:23:42,    2.324315,    0.089357,    0.013747,   -0.001034,    0.002567
15/02/2021 09:24:12,    2.324353,    0.089395,    0.013753,   -0.001034,    0.002507
15/02/2021 09:24:42,    2.324385,    0.089427,    0.013758,   -0.001034,    0.002447
15/02/2021 09:25:12,    2.324409,    0.089451,    0.013762,   -0.001035,    0.002386
15/02/2021 09:25:42,    2.324424,    0.089466,    0.013764,   -0.001035,    0.002326
15/02/2021 09:26:12,    2.324429,    0.089471,    0.013765,   -0.001035,    0.002265
15/02/2021 09:26:42,    2.324425,    0.089467,    0.013764,   -0.001035,    0.002204
15/02/2021 09:27:12,    2.324410,    0.089452,    0.013762,   -0.001035,    0.002143
15/02/2021 09:27:42,    2.324383,    0.089426,    0.013758,   -0.001035,    0.002082
15/02/2021 09:28:12,    2.324345,    0.089387,    0.013752,   -0.001034,    0.002021
15/02/2021 09:28:42,    2.324294,    0.089337,    0.013744,   -0.001034,    0.001961
15/02/2021 09:29:12,    2.324230,    0.089273,    0.013734,   -0.001034,    0.001900
15/02/2021 09:29:42,    2.324152,    0.089195,    0.013722,   -0.001033,    0.001839
15/02/2021 09:30:12,    2.324061,    0.089104,    0.013708,   -0.001033,    0.001779
15/02/2021 09:30:42,    2.323962,    0.089005,    0.013693,   -0.001032,    0.001718
15/02/2021 09:31:12,    2.323862,    0.088904,    0.013678,   -0.001032,    0.001658
15/02/2021 09:31:42,    2.323767,    0.088809,    0.013663,   -0.001031,    0.001598
15/02/2021 09:32:12,    2.323684,    0.088726,    0.013650,   -0.001031,    0.001538
15/02/2021 09:32:42,    2.323620,    0.088662,    0.013640,   -0.001030,    0.001479
15/02/2021 09:33:12,    2.323580,    0.088623,    0.013634,   -0.001029,    0.001420
15/02/2021 09:33:42,    2.323573,    0.088615,    0.013633,   -0.001028,    0.001361
15/02/2021 09:34:12,    2.323603,    0.088646,    0.013638,   -0.001027,    0.001302
15/02/2021 09:34:42,    2.323679,    0.088721,    0.013650,   -0.001026,    0.001243
15/02/2021 09:36:42,    2.324396,    0.089438,    0.013760,   -0.001021,    0.001013
15/02/2021 09:37:12,    2.324637,    0.089679,    0.013797,   -0.001020,    0.000956
15/02/2021 09:37:42,    2.324884,    0.089926,    0.013835,   -0.001019,    0.000900
15/02/2021 09:38:12,    2.325129,    0.090171,    0.013873,   -0.001017,    0.000844
15/02/2021 09:38:42,    2.325363,    0.090405,    0.013909,   -0.001016,    0.000789
15/02/2021 09:39:12,    2.325576,    0.090618,    0.013941,   -0.001014,    0.000734
15/02/2021 09:39:42,    2.325760,    0.090802,    0.013970,   -0.001013,    0.000680
15/02/2021 09:40:12,    2.325907,    0.090950,    0.013992,   -0.001011,    0.000626
15/02/2021 09:40:42,    2.326016,    0.091058,    0.014009,   -0.001010,    0.000573
15/02/2021 09:41:12,    2.326087,    0.091129,    0.014020,   -0.001008,    0.000520
15/02/2021 09:41:42,    2.326119,    0.091161,    0.014025,   -0.001006,    0.000468
15/02/2021 09:42:12,    2.326113,    0.091155,    0.014024,   -0.001004,    0.000416
15/02/2021 09:42:42,    2.326068,    0.091111,    0.014017,   -0.001003,    0.000365
15/02/2021 09:43:12,    2.325985,    0.091028,    0.014004,   -0.001001,    0.000315
15/02/2021 09:43:42,    2.325864,    0.090906,    0.013986,   -0.000999,    0.000265
15/02/2021 09:44:12,    2.325705,    0.090747,    0.013961,   -0.000997,    0.000216
15/02/2021 09:44:42,    2.325506,    0.090549,    0.013931,   -0.000995,    0.000168
