Date               ,ZTD [m]     ,ZWD [m]     ,PWV [mm]    ,GE [m]      ,GN [m]      
15/02/2021 08:40:12,    2.337023,    0.095807,    0.014745,   -0.000189,    0.001322
15/02/2021 08:40:42,    2.337058,    0.095843,    0.014750,   -0.000191,    0.001345
15/02/2021 08:41:12,    2.337085,    0.095870,    0.014754,   -0.000193,    0.001369
15/02/2021 08:41:42,    2.337103,    0.095888,    0.014757,   -0.000195,    0.001392
15/02/2021 08:42:12,    2.337113,    0.095897,    0.014758,   -0.000196,    0.001415
15/02/2021 08:42:42,    2.337114,    0.095899,    0.014759,   -0.000198,    0.001439
15/02/2021 08:43:12,    2.337107,    0.095891,    0.014758,   -0.000200,    0.001462
15/02/2021 08:43:42,    2.337091,    0.095876,    0.014755,   -0.000202,    0.001485
15/02/2021 08:44:12,    2.337067,    0.095852,    0.014751,   -0.000204,    0.001508
15/02/2021 08:44:42,    2.337035,    0.095820,    0.014747,   -0.000206,    0.001531
15/02/2021 08:45:12,    2.336996,    0.095780,    0.014740,   -0.000207,    0.001554
15/02/2021 08:45:42,    2.336950,    0.095735,    0.014733,   -0.000209,    0.001576
15/02/2021 08:46:12,    2.336901,    0.095685,    0.014726,   -0.000211,    0.001599
15/02/2021 08:46:42,    2.336850,    0.095635,    0.014718,   -0.000213,    0.001621
15/02/2021 08:47:12,    2.336800,    0.095584,    0.014710,   -0.000215,    0.001644
15/02/2021 08:47:42,    2.336753,    0.095537,    0.014703,   -0.000216,    0.001666
15/02/2021 08:48:12,    2.336711,    0.095496,    0.014697,   -0.000218,    0.001688
15/02/2021 08:48:42,    2.336676,    0.095461,    0.014691,   -0.000220,    0.001710
15/02/2021 08:49:12,    2.336651,    0.095436,    0.014687,   -0.000222,    0.001732
15/02/2021 08:49:42,    2.336638,    0.095423,    0.014685,   -0.000224,    0.001754
15/02/2021 08:50:12,    2.336638,    0.095423,    0.014685,   -0.000226,    0.001776
15/02/2021 08:50:42,    2.336651,    0.095436,    0.014687,   -0.000227,    0.001798
15/02/2021 08:51:12,    2.336674,    0.095459,    0.014691,   -0.000229,    0.001819
15/02/2021 08:51:42,    2.336707,    0.095492,    0.014696,   -0.000231,    0.001840
15/02/2021 08:52:12,    2.336748,    0.095532,    0.014702,   -0.000233,    0.001861
15/02/2021 08:52:42,    2.336795,    0.095579,    0.014710,   -0.000235,    0.001882
15/02/2021 08:53:12,    2.336846,    0.095630,    0.014717,   -0.000236,    0.001903
15/02/2021 08:53:42,    2.336900,    0.095685,    0.014726,   -0.000238,    0.001924
15/02/2021 08:54:12,    2.336957,    0.095741,    0.014734,   -0.000240,    0.001945
15/02/2021 08:54:42,    2.337013,    0.095797,    0.014743,   -0.000242,    0.001965
15/02/2021 08:55:12,    2.337067,    0.095852,    0.014751,   -0.000244,    0.001985
15/02/2021 08:55:42,    2.337121,    0.095905,    0.014760,   -0.000245,    0.002005
15/02/2021 08:56:12,    2.337173,    0.095957,    0.014768,   -0.000247,    0.002025
15/02/2021 08:56:42,    2.337223,    0.096008,    0.014776,   -0.000249,    0.002045
15/02/2021 08:57:12,    2.337273,    0.096058,    0.014783,   -0.000251,    0.002064
15/02/2021 08:57:42,    2.337322,    0.096107,    0.014791,   -0.000253,    0.002084
15/02/2021 08:58:12,    2.337371,    0.096156,    0.014798,   -0.000254,    0.002103
15/02/2021 08:58:42,    2.337419,    0.096204,    0.014806,   -0.000256,    0.002122
15/02/2021 08:59:12,    2.337467,    0.096251,    0.014813,   -0.000258,    0.002140
15/02/2021 08:59:42,    2.337514,    0.096299,    0.014820,   -0.000260,    0.002159
15/02/2021 09:00:12,    2.337562,    0.096347,    0.014828,   -0.000261,    0.002177
15/02/2021 09:00:42,    2.337610,    0.096394,    0.014835,   -0.000263,    0.002195
15/02/2021 09:01:12,    2.337658,    0.096443,    0.014842,   -0.000265,    0.002213
15/02/2021 09:01:42,    2.337707,    0.096491,    0.014850,   -0.000267,    0.002231
15/02/2021 09:02:12,    2.337756,    0.096541,    0.014858,   -0.000268,    0.002248
15/02/2021 09:02:42,    2.337807,    0.096591,    0.014865,   -0.000270,    0.002266
15/02/2021 09:03:12,    2.337858,    0.096643,    0.014873,   -0.000272,    0.002282
15/02/2021 09:03:42,    2.337911,    0.096696,    0.014881,   -0.000274,    0.002299
15/02/2021 09:04:12,    2.337966,    0.096750,    0.014890,   -0.000275,    0.002315
15/02/2021 09:04:42,    2.338022,    0.096806,    0.014898,   -0.000277,    0.002331
15/02/2021 09:05:12,    2.338079,    0.096864,    0.014907,   -0.000279,    0.002347
15/02/2021 09:05:42,    2.338138,    0.096923,    0.014916,   -0.000280,    0.002362
15/02/2021 09:06:12,    2.338197,    0.096981,    0.014925,   -0.000282,    0.002377
15/02/2021 09:06:42,    2.338254,    0.097038,    0.014934,   -0.000284,    0.002392
15/02/2021 09:07:12,    2.338309,    0.097093,    0.014943,   -0.000285,    0.002406
15/02/2021 09:07:42,    2.338361,    0.097145,    0.014951,   -0.000287,    0.002420
15/02/2021 09:08:12,    2.338408,    0.097192,    0.014958,   -0.000289,    0.002434
15/02/2021 09:08:42,    2.338450,    0.097234,    0.014964,   -0.000290,    0.002447
15/02/2021 09:09:12,    2.338485,    0.097270,    0.014970,   -0.000292,    0.002459
15/02/2021 09:09:42,    2.338513,    0.097298,    0.014974,   -0.000293,    0.002472
15/02/2021 09:10:12,    2.338532,    0.097317,    0.014977,   -0.000295,    0.002483
15/02/2021 09:10:42,    2.338540,    0.097324,    0.014978,   -0.000296,    0.002495
15/02/2021 09:11:12,    2.338532,    0.097317,    0.014977,   -0.000298,    0.002506
15/02/2021 09:11:42,    2.338506,    0.097291,    0.014973,   -0.000299,    0.002516
15/02/2021 09:12:12,    2.338458,    0.097243,    0.014966,   -0.000300,    0.002526
15/02/2021 09:12:42,    2.338385,    0.097170,    0.014954,   -0.000302,    0.002536
15/02/2021 09:13:12,    2.338284,    0.097069,    0.014939,   -0.000303,    0.002545
15/02/2021 09:13:42,    2.338151,    0.096936,    0.014918,   -0.000304,    0.002553
15/02/2021 09:14:12,    2.337984,    0.096768,    0.014893,   -0.000306,    0.002561
15/02/2021 09:14:42,    2.337778,    0.096563,    0.014861,   -0.000307,    0.002568
15/02/2021 09:15:12,    2.337533,    0.096317,    0.014823,   -0.000308,    0.002575
15/02/2021 09:15:42,    2.337253,    0.096038,    0.014780,   -0.000309,    0.002582
15/02/2021 09:16:12,    2.336947,    0.095732,    0.014733,   -0.000310,    0.002587
15/02/2021 09:16:42,    2.336623,    0.095408,    0.014683,   -0.000311,    0.002592
15/02/2021 09:17:12,    2.336288,    0.095072,    0.014632,   -0.000313,    0.002597
15/02/2021 09:17:42,    2.335949,    0.094734,    0.014579,   -0.000314,    0.002601
15/02/2021 09:18:12,    2.335615,    0.094399,    0.014528,   -0.000315,    0.002604
15/02/2021 09:18:42,    2.335292,    0.094077,    0.014478,   -0.000315,    0.002607
15/02/2021 09:19:12,    2.334990,    0.093774,    0.014432,   -0.000316,    0.002609
15/02/2021 09:19:42,    2.334714,    0.093498,    0.014389,   -0.000317,    0.002610
15/02/2021 09:20:12,    2.334472,    0.093257,    0.014352,   -0.000318,    0.002611
15/02/2021 09:20:42,    2.334265,    0.093050,    0.014320,   -0.000319,    0.002611
15/02/2021 09:21:12,    2.334095,    0.092880,    0.014294,   -0.000319,    0.002610
15/02/2021 09:21:42,    2.333962,    0.092747,    0.014274,   -0.000320,    0.002609
15/02/2021 09:22:12,    2.333867,    0.092651,    0.014259,   -0.000321,    0.002607
15/02/2021 09:22:42,    2.333809,    0.092594,    0.014250,   -0.000321,    0.002604
