Date               ,ZTD [m]     ,ZWD [m]     ,PWV [mm]    ,GE [m]      ,GN [m]      
15/02/2021 08:40:12,    2.363864,    0.100646,    0.015518,   -0.000094,    0.000499
15/02/2021 08:40:42,    2.363716,    0.100499,    0.015496,   -0.000101,    0.000498
15/02/2021 08:41:12,    2.363553,    0.100335,    0.015470,   -0.000108,    0.000496
15/02/2021 08:41:42,    2.363379,    0.100161,    0.015443,   -0.000115,    0.000494
15/02/2021 08:42:12,    2.363201,    0.099984,    0.015416,   -0.000122,    0.000492
15/02/2021 08:42:42,    2.363026,    0.099808,    0.015389,   -0.000130,    0.000490
15/02/2021 08:43:12,    2.362858,    0.099641,    0.015363,   -0.000137,    0.000489
15/02/2021 08:43:42,    2.362705,    0.099488,    0.015340,   -0.000145,    0.000487
15/02/2021 08:44:12,    2.362573,    0.099355,    0.015319,   -0.000153,    0.000485
15/02/2021 08:44:42,    2.362467,    0.099250,    0.015303,   -0.000160,    0.000483
15/02/2021 08:45:12,    2.362394,    0.099176,    0.015292,   -0.000168,    0.000482
15/02/2021 08:45:42,    2.362358,    0.099140,    0.015286,   -0.000176,    0.000480
15/02/2021 08:46:12,    2.362354,    0.099136,    0.015285,   -0.000184,    0.000478
15/02/2021 08:46:42,    2.362376,    0.099158,    0.015289,   -0.000193,    0.000477
15/02/2021 08:47:12,    2.362417,    0.099200,    0.015295,   -0.000201,    0.000475
15/02/2021 08:47:42,    2.362472,    0.099254,    0.015304,   -0.000209,    0.000474
15/02/2021 08:48:12,    2.362533,    0.099316,    0.015313,   -0.000218,    0.000472
15/02/2021 08:48:42,    2.362595,    0.099377,    0.015323,   -0.000226,    0.000471
15/02/2021 08:49:12,    2.362650,    0.099432,    0.015331,   -0.000235,    0.000470
15/02/2021 08:49:42,    2.362692,    0.099475,    0.015338,   -0.000244,    0.000468
15/02/2021 08:50:12,    2.362716,    0.099498,    0.015341,   -0.000252,    0.000467
15/02/2021 08:50:42,    2.362715,    0.099498,    0.015341,   -0.000261,    0.000466
15/02/2021 08:51:12,    2.362692,    0.099475,    0.015338,   -0.000270,    0.000465
15/02/2021 08:51:42,    2.362650,    0.099433,    0.015331,   -0.000279,    0.000464
15/02/2021 08:52:12,    2.362592,    0.099374,    0.015322,   -0.000288,    0.000463
15/02/2021 08:52:42,    2.362520,    0.099302,    0.015311,   -0.000297,    0.000462
15/02/2021 08:53:12,    2.362438,    0.099221,    0.015298,   -0.000306,    0.000461
15/02/2021 08:53:42,    2.362349,    0.099132,    0.015285,   -0.000315,    0.000461
15/02/2021 08:54:12,    2.362257,    0.099039,    0.015270,   -0.000325,    0.000460
15/02/2021 08:54:42,    2.362163,    0.098946,    0.015256,   -0.000334,    0.000460
