Date               ,ZTD [m]     ,ZWD [m]     ,PWV [mm]    ,GE [m]      ,GN [m]      
15/02/2021 03:59:42,    2.343684,    0.087747,    0.013527,    0.000426,   -0.002402
15/02/2021 04:00:12,    2.343697,    0.087760,    0.013529,    0.000442,   -0.002439
15/02/2021 04:00:42,    2.343673,    0.087736,    0.013525,    0.000458,   -0.002476
15/02/2021 04:01:12,    2.343619,    0.087683,    0.013517,    0.000474,   -0.002512
15/02/2021 04:01:42,    2.343545,    0.087610,    0.013506,    0.000490,   -0.002547
15/02/2021 04:02:12,    2.343460,    0.087526,    0.013493,    0.000505,   -0.002581
15/02/2021 04:02:42,    2.343372,    0.087438,    0.013480,    0.000521,   -0.002614
15/02/2021 04:03:12,    2.343290,    0.087357,    0.013467,    0.000537,   -0.002647
15/02/2021 04:03:42,    2.343223,    0.087291,    0.013457,    0.000553,   -0.002678
15/02/2021 04:04:12,    2.343179,    0.087248,    0.013450,    0.000569,   -0.002709
15/02/2021 04:04:42,    2.343168,    0.087238,    0.013449,    0.000585,   -0.002739
15/02/2021 04:05:12,    2.343195,    0.087265,    0.013453,    0.000601,   -0.002768
15/02/2021 04:05:42,    2.343252,    0.087323,    0.013462,    0.000617,   -0.002797
15/02/2021 04:06:12,    2.343328,    0.087400,    0.013474,    0.000633,   -0.002824
15/02/2021 04:06:42,    2.343414,    0.087486,    0.013487,    0.000649,   -0.002851
15/02/2021 04:07:12,    2.343496,    0.087569,    0.013500,    0.000665,   -0.002877
15/02/2021 04:07:42,    2.343566,    0.087639,    0.013511,    0.000680,   -0.002902
15/02/2021 04:08:12,    2.343611,    0.087686,    0.013518,    0.000696,   -0.002926
15/02/2021 04:08:42,    2.343622,    0.087697,    0.013520,    0.000712,   -0.002950
15/02/2021 04:09:12,    2.343588,    0.087664,    0.013514,    0.000727,   -0.002972
15/02/2021 04:09:42,    2.343497,    0.087573,    0.013500,    0.000742,   -0.002994
15/02/2021 04:10:12,    2.343342,    0.087419,    0.013477,    0.000758,   -0.003015
15/02/2021 04:10:42,    2.343128,    0.087206,    0.013444,    0.000773,   -0.003035
15/02/2021 04:11:12,    2.342863,    0.086942,    0.013403,    0.000788,   -0.003055
15/02/2021 04:11:42,    2.342557,    0.086636,    0.013356,    0.000803,   -0.003073
15/02/2021 04:12:12,    2.342216,    0.086296,    0.013303,    0.000818,   -0.003091
15/02/2021 04:12:42,    2.341850,    0.085931,    0.013247,    0.000833,   -0.003108
15/02/2021 04:13:12,    2.341467,    0.085548,    0.013188,    0.000847,   -0.003124
15/02/2021 04:13:42,    2.341075,    0.085157,    0.013128,    0.000861,   -0.003139
15/02/2021 04:14:12,    2.340683,    0.084766,    0.013068,    0.000876,   -0.003153
15/02/2021 04:14:42,    2.340299,    0.084382,    0.013008,    0.000890,   -0.003166
15/02/2021 04:15:12,    2.339930,    0.084014,    0.012952,    0.000904,   -0.003179
15/02/2021 04:15:42,    2.339581,    0.083666,    0.012898,    0.000917,   -0.003191
15/02/2021 04:16:12,    2.339256,    0.083341,    0.012848,    0.000931,   -0.003202
15/02/2021 04:16:42,    2.338957,    0.083043,    0.012802,    0.000944,   -0.003212
15/02/2021 04:17:12,    2.338688,    0.082775,    0.012761,    0.000957,   -0.003221
15/02/2021 04:17:42,    2.338453,    0.082541,    0.012725,    0.000970,   -0.003230
15/02/2021 04:18:12,    2.338255,    0.082343,    0.012694,    0.000982,   -0.003237
15/02/2021 04:18:42,    2.338098,    0.082187,    0.012670,    0.000995,   -0.003244
15/02/2021 04:19:12,    2.337985,    0.082074,    0.012653,    0.001007,   -0.003250
15/02/2021 04:19:42,    2.337919,    0.082009,    0.012643,    0.001019,   -0.003255
15/02/2021 06:10:12,    2.339599,    0.083828,    0.012923,    0.001201,   -0.002750
15/02/2021 06:10:42,    2.339847,    0.084076,    0.012961,    0.001198,   -0.002723
15/02/2021 06:11:12,    2.340099,    0.084328,    0.013000,    0.001195,   -0.002694
15/02/2021 06:11:42,    2.340355,    0.084584,    0.013040,    0.001191,   -0.002665
15/02/2021 06:12:12,    2.340614,    0.084843,    0.013080,    0.001187,   -0.002636
15/02/2021 06:12:42,    2.340876,    0.085105,    0.013120,    0.001183,   -0.002606
15/02/2021 06:13:12,    2.341140,    0.085369,    0.013161,    0.001179,   -0.002575
15/02/2021 06:13:42,    2.341405,    0.085634,    0.013202,    0.001174,   -0.002544
15/02/2021 06:14:12,    2.341672,    0.085901,    0.013243,    0.001169,   -0.002513
15/02/2021 06:14:42,    2.341939,    0.086168,    0.013284,    0.001164,   -0.002481
15/02/2021 06:15:12,    2.342206,    0.086436,    0.013325,    0.001158,   -0.002448
15/02/2021 06:15:42,    2.342474,    0.086703,    0.013366,    0.001153,   -0.002415
15/02/2021 06:16:12,    2.342742,    0.086972,    0.013408,    0.001147,   -0.002382
15/02/2021 06:16:42,    2.343012,    0.087241,    0.013449,    0.001141,   -0.002348
15/02/2021 06:17:12,    2.343283,    0.087512,    0.013491,    0.001134,   -0.002314
15/02/2021 06:17:42,    2.343556,    0.087785,    0.013533,    0.001128,   -0.002279
15/02/2021 06:18:12,    2.343831,    0.088060,    0.013576,    0.001121,   -0.002244
15/02/2021 06:18:42,    2.344108,    0.088337,    0.013618,    0.001115,   -0.002209
15/02/2021 06:19:12,    2.344389,    0.088618,    0.013662,    0.001108,   -0.002173
15/02/2021 06:19:42,    2.344672,    0.088902,    0.013705,    0.001100,   -0.002137
15/02/2021 06:20:12,    2.344960,    0.089189,    0.013750,    0.001093,   -0.002101
15/02/2021 06:20:42,    2.345252,    0.089481,    0.013795,    0.001085,   -0.002064
